2706,5962,7800
7803,7804,7805
7806,7807,7808
7809,7810,7811
7812,7813,7814
7815,7816,7817
7818,7819,7820
7821,7822,7823
7826,7827,7829
7831,7832,7833
7836,7837,7838
7839,7840,7841
7846,7847,7850
7851,7855,7856
7857,7859,7862
7863,7864,7865
7867,7868,7869
7872,7873,7875
7878,7879,7883
7885,7887,7893
7896,7897,7898
7901,7902,7905
7906,7911,7912
7914,7915,7916
7919,7921,7922
7923,7932,7936
7937,7938,7939
7945,7946,7949
7951,7952,7953
7955,7956,7957
7961,7962,7963
7966,7972,7974
7975,7976,7980
7981,7983,7984
7986,7987,7990
7992,7994,7997
8022,
